Original_Venture_Name,Year_Foundation,Alternative_Name
EnergyGeeks Corporation,2015,
"Xtra Chef, Inc.",2015,
Aifloo AB,2015,
"ConsideredThoughtfully, Inc.",2015,
Line Friends Corporation,2015,
SocialMatters.ai,2015,
"Replay Media Group, Inc.",2015,
eEducation Albert AB,2015,
"Merging Traffic, LLC",2015,
"SORA, Inc.",2015,
SWYCH INC.,2015,
"Spektron Systems, LLC",2016,
"Legion Technologies, Inc.",2016,
Monogram Orthopaedics Inc.,2016,
"Fast Campus Co., Ltd.",2016,
Orthogonal Thinker Inc.,2016,
"Snappt, Inc.",2016,
"Gravyty Technologies, Inc.",2016,
Ombrea,2016,
Automat.ai,2016,
Saros LLC,2016,
Novo Platform Inc.,2016,
Versatile Natures,2016,
FinMomenta Private Limited,2016,
"Alloy Technologies, Inc.",2016,
INEO Solutions Inc,2016,
"Dot Laboratories, Inc.",2016,
EnergyX Solutions Inc.,2016,
Limitless Technology Ltd,2016,
Isahit,2016,
Base inc,2016,
Pudu Technology Inc.,2016,
Abacus Accounting Technologies GmbH,2016,
Xsun,2016,
"viz.ai, Inc.",2016,
Nod,2016,
"SIPP Technologies, LLC",2016,
"madeBOS, Inc.",2017,
"Juicedata, Inc.",2017,
BIOME Inc.,2017,
"AI Narrator, Inc.",2017,
My Voice Ai Limited,2017,
Zaion SAS,2017,
"Switch, Inc.",2017,
TheraPanacea,2017,
Dessintey SA,2017,
GPU.One Enterprise Inc.,2017,
"State Space Labs, Inc.",2017,
"Flock Group, Inc.",2017,
SpringCloud Inc.,2017,
Babblabs Inc.,2017,
CAPinside AG,2017,
White Labs Pte. Ltd.,2017,
RadiomicsAI,2017,
TeakOrigin Inc.,2017,
Vaultbanc Ltd.,2017,
Cortica Inc.,2017,
ZoomAgri,2017,
Ecojoko,2017,
Atrium LLP,2017,
Evy Solutions GmbH,2017,
QAPE,2017,
Pinpoint,2017,
Maverick Medical AI Ltd.,2018,
"Liberty Defense Holdings, Ltd.",2018,
"Mighty Labs, Inc.",2018,
Globalive Technology Inc.,2018,
YCOR Management Sàrl,2018,
Loop Insights Inc.,2018,
"BRAINBox Solutions, Inc.",2018,
NukkAI,2018,
RMDS Lab Inc.,2018,
Flashgroup Inc.,2018,
"Revvo Technologies, Inc.",2018,
"Symbiose Technologies, Inc.",2018,
The Yes,2018,
Accelor.io,2018,
Odonata Health Inc,2018,
Vysioneer Inc.,2019,
Nelson Artificial Intelligence Institute,2019,
GDP Inc.,2019,
